gid,lbl,val,lon,lat,����ȸ����,�ְ�����
마라2581,N/A,0.0000000000000000000000000000000,128.8773007000,35.1208691000,0.000000000000000,0.000000000000000
마라2375,"107.00",107.0000000000000000000000000000000,128.8544623000,35.0670278600,0.000000000000000,98.000000000000000
마라5399,N/A,0.0000000000000000000000000000000,129.1878333000,35.2792268100,0.000000000000000,15.000000000000000
마라3277,N/A,0.0000000000000000000000000000000,128.9534605000,35.0839144300,0.000000000000000,0.000000000000000
마라4682,"26397.00",26397.0000000000000000000000000000000,129.1078676000,35.1270454200,0.000000000000000,474.000000000000000
마라5898,"1242.00",1242.0000000000000000000000000000000,129.2425961000,35.2694345200,0.000000000000000,585.000000000000000
마라5597,"69.00",69.0000000000000000000000000000000,129.2094371000,35.2608920100,0.000000000000000,48.000000000000000
마마5908,"127.00",127.0000000000000000000000000000000,129.2555329000,35.3594030200,0.000000000000000,99.000000000000000
마라4185,"14301.00",14301.0000000000000000000000000000000,129.0535236000,35.1548026400,0.000000000000000,1413.000000000000000
마라4294,"7.00",7.0000000000000008881784197001252,129.0660555000,35.2357853700,0.000000000000000,0.000000000000000
마라5796,"856.00",856.0000000000000000000000000000000,129.2312228000,35.2515665100,0.000000000000000,0.000000000000000
마라2785,"68.00",68.0000000000000000000000000000000,128.8998612000,35.1566758800,0.000000000000000,36.000000000000000
마라3085,"117.00",117.0000000000000000000000000000000,128.9327900000,35.1562908700,0.000000000000000,79.000000000000000
마라5491,"9.00",9.0000000000000000000000000000000,129.1973211000,35.2069680600,0.000000000000000,4.000000000000000
마라5792,"334.00",334.0000000000000000000000000000000,129.2304568000,35.2155146400,0.000000000000000,113.000000000000000
마라3276,"145.00",145.0000000000000000000000000000000,128.9533006000,35.0749000100,0.000000000000000,0.000000000000000
마라3575,"15447.00",15447.0000000000000000000000000000000,128.9860324000,35.0654869900,0.000000000000000,33.000000000000000
마라4688,"24523.00",24523.0000000000000000000000000000000,129.1089322000,35.1811273100,0.000000000000000,1285.000000000000000
마라2068,"72.00",72.0000000000000000000000000000000,128.8205525000,35.0042859000,0.000000000000000,0.000000000000000
마마4907,"65.00",65.0000000000000000000000000000000,129.1453271000,35.3519383600,0.000000000000000,23.000000000000000
마라3482,"18026.00",18026.0000000000000000000000000000000,128.9762057000,35.1287209300,0.000000000000000,985.000000000000000
마라3481,"2213.00",2213.0000000000000000000000000000000,128.9760431000,35.1197066700,0.000000000000000,45.000000000000000
마라3684,"7323.00",7323.0000000000000000000000000000000,128.9984805000,35.1464798900,0.000000000000000,497.000000000000000
마마5204,"11225.00",11225.0000000000000000000000000000000,129.1777721000,35.3244452900,0.000000000000000,189.000000000000000
마마5105,"24214.00",24214.0000000000000000000000000000000,129.1669595000,35.3336105600,0.000000000000000,257.000000000000000
